12/10/2021-15:20:57.447868  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60480 -> 10.0.4.20:80
12/10/2021-15:21:11.141204  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.4.20:80 -> 10.0.0.20:60546
12/10/2021-15:20:53.007839  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60460 -> 10.0.4.20:80
12/10/2021-15:20:57.864540  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60482 -> 10.0.4.20:80
12/10/2021-15:20:51.321175  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60452 -> 10.0.4.20:80
12/10/2021-15:21:12.397865  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60554 -> 10.0.4.20:80
12/10/2021-15:20:55.117835  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60470 -> 10.0.4.20:80
12/10/2021-15:20:59.554500  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60492 -> 10.0.4.20:80
12/10/2021-15:21:13.244543  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60558 -> 10.0.4.20:80
12/10/2021-15:20:55.537801  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60472 -> 10.0.4.20:80
12/10/2021-15:20:52.161201  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60456 -> 10.0.4.20:80
12/10/2021-15:20:52.584549  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60458 -> 10.0.4.20:80
12/10/2021-15:20:59.977879  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60494 -> 10.0.4.20:80
12/10/2021-15:20:56.587763  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60476 -> 10.0.4.20:80
12/10/2021-15:21:00.401203  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60496 -> 10.0.4.20:80
